PMID,Date,Journal,ImpactFactor,Title,中文详细总结,测序与实验技术,生信分析工具,创新点与启示
41668536,2026 Feb,Acta Biochimica Et Biophysica Sinica,0.0,Altered gut microbial dynamics and the antivascular remodeling effect of carnosine in hypobaric hypoxic pulmonary hypertension rats.,该研究深入探讨了慢性低压低氧性肺动脉高压（PH）中肠道菌群与宿主代谢的动态变化及其对肺血管重塑的影响。研究发现，在低压低氧环境下，肠道菌群及其代谢产物发生显著改变，特别是粪便中肌肽（carnosine）水平及其主要生产者<i>Ruminococcus bromii</i>的丰度显著下降。肌肽水平与肺小动脉中膜厚度呈负相关。机制研究表明，补充肌肽能恢复全身和肺部的抗氧化防御，并减轻血管重塑。体外实验进一步证实，肌肽能抑制缺氧诱导的肺动脉平滑肌细胞增殖和迁移，并抑制Nrf2的积累。这些发现揭示了低压低氧性PH中肠-肺轴的动态对话，并提出肌肽作为一种基于代谢物的干预策略，以缓解缺氧驱动的肺血管重塑。,"16S rDNA测序, 宏基因组测序, 非靶向代谢组学测序",未提及,该研究的创新点在于首次揭示了低压低氧性肺动脉高压（PH）中肠道菌群-代谢轴的动态变化及其在肺血管重塑中的关键作用。通过多组学（16S rDNA、宏基因组、非靶向代谢组学）的纵向分析，明确了肌肽及其生产者<i>Ruminococcus bromii</i>在PH发展过程中的下降趋势，并首次将肌肽鉴定为一种具有抗血管重塑潜力的代谢物干预靶点。研究不仅在整体动物水平验证了肌肽的治疗效果，还通过细胞实验深入阐明了其抑制肺动脉平滑肌细胞增殖迁移及Nrf2积累的分子机制，为PH的治疗提供了新的思路和潜在的生物标志物。
41534755,2026 Apr,Journal Of Ethnopharmacology,0.0,"Efficacy and multi-omics regulatory effects of Guilou Tongluo formula in patients with chronic obstructive pulmonary disease combined with pulmonary hypertension: A prospective, multicenter, randomized controlled trial.",该研究是一项前瞻性、多中心、随机对照试验，旨在评估桂蒌通络方（GLTLF）治疗慢性阻塞性肺疾病合并肺动脉高压（COPD-PH）的疗效和潜在作用机制。研究发现，GLTLF能显著改善COPD-PH患者的临床症状和生理指标，包括降低肺动脉收缩压（PASP），改善肺功能（FEV1、FEV1/FVC），提升动脉血氧分压（PaO2），并改善6分钟步行距离等，其疗效优于单纯常规治疗。在机制探索方面，研究采用了多组学方法，特别是肠道宏基因组和代谢组学分析。结果显示，GLTLF干预后，COPD-PH患者的肠道菌群结构和功能发生了显著改变，提示GLTLF可能通过调节肠道微生态来发挥治疗作用。此外，代谢组学分析识别出87种差异代谢物，这些代谢物显著富集于18条代谢通路中，表明GLTLF还能调控患者的代谢状态。虽然摘要未直接详细阐述肠道菌群如何直接导致或缓解肺动脉高压的具体分子机制，但它明确揭示了GLTLF通过重塑肠道菌群组成和功能，并影响宿主代谢状态，从而对COPD-PH产生治疗效果。这暗示了肠道-肺轴在COPD-PH发病机制和治疗中的重要潜力，为未来深入研究肠道菌群与肺动脉高压的关联提供了新的视角和证据。,宏基因组测序,未提及,该研究的创新点主要体现在其机制探索的深度和广度上。首先，作为一项针对传统中药方剂桂蒌通络方（GLTLF）治疗慢性阻塞性肺疾病合并肺动脉高压（COPD-PH）的高质量、前瞻性、多中心随机对照临床试验，它为GLTLF的临床应用提供了坚实的循证医学证据，填补了该领域高质量研究的空白。更重要的是，该研究首次创新性地将多组学技术（肠道宏基因组和代谢组学）应用于中药治疗COPD-PH的机制研究。通过揭示GLTLF能够显著改变患者的肠道菌群结构和功能，并调控代谢状态，该研究不仅为理解中医药在复杂疾病中的多靶点、系统性作用机制提供了新的科学视角，而且明确提示了肠道微生态在COPD-PH发病机制中的潜在关键作用，以及中药通过调节肠道-肺轴发挥治疗效果的可能性。这为未来深入探索COPD-PH的病理生理学、开发基于肠道菌群和代谢靶点的新型治疗策略奠定了重要基础。
41496335,2026 Jan,Biomedicine & Pharmacotherapy = Biomedecine & Pharmacotherapie,0.0,"Elucidation of mechanisms underlying the therapeutic effects of cordycepin on pulmonary hypertension, with a focus on cell senescence and gut microbiota.",本研究深入阐明了虫草素（cordycepin）治疗肺动脉高压（PH）的多靶点机制。核心发现包括：虫草素通过激活p53信号通路并抑制CDK1表达和TERT磷酸化，从而抑制肺动脉平滑肌细胞（PASMCs）的异常增殖。同时，它能诱导促炎性M1样巨噬细胞衰老，从而减轻炎症反应。更重要的是，研究揭示了虫草素对肠道菌群的显著调节作用，表现为增加有益菌属（如Alistipes和Acetatifactor）并减少促炎菌群（如Ruminococcus），进而调节短链脂肪酸、色氨酸和维生素K2等关键代谢通路。这些机制共同作用，通过靶向血管、免疫和肠-肺轴，为PH治疗提供了新的策略。,患者PASMCs的转录组分析（transcriptome analysis），啮齿动物PH模型中的宏基因组分析（metagenomic analysis），以及RNA测序分析（RNA sequencing analysis）。,未提及,该研究的创新点在于首次系统性地揭示了虫草素治疗肺动脉高压的多重作用机制，特别是其在整合细胞衰老、肠道菌群调节和免疫代谢方面的独特发现。研究不仅通过p53-CDK1/pTERT轴抑制PASMC增殖，还创新性地发现虫草素能诱导促炎巨噬细胞衰老，并显著重塑肠道菌群，增加有益菌、减少促炎菌，进而调节SCFA、色氨酸和维生素K2等关键代谢通路。这种将血管重塑、免疫调节和肠-肺轴联系起来的综合性机制阐明，为肺动脉高压的治疗提供了全新的多靶点干预策略，具有重要的临床转化潜力。
41395473,2025,Frontiers In Microbiology,0.0,Tibetan herbal medicine <i>Oxytropis falcata</i> Bunge ameliorates hypoxic pulmonary hypertension in rats via regulation of intestinal microbiota and metabolites.,本研究深入探讨了藏药镰形棘豆（OFB）治疗缺氧性肺动脉高压（HPH）的机制。研究发现，HPH可导致大鼠肠道菌群失调和内源性代谢物紊乱，特别是嘧啶代谢通路。OFB通过显著改善HPH引起的肺动脉高压症状和肺动脉重塑，同时逆转肠道菌群失调，恢复其多样性和组成，并使紊乱的代谢物（如嘧啶代谢相关物质）恢复正常。相关性分析进一步揭示了特定菌群与代谢物之间的关联。这些结果表明，OFB通过调节肠道菌群失调和恢复代谢稳态，特别是嘧啶代谢，发挥治疗HPH的作用，揭示了肠-肺轴在HPH发病机制中的重要性，为开发靶向菌群的HPH疗法提供了新思路。,16S rRNA测序,未提及,本研究的创新点在于首次揭示了藏药镰形棘豆（OFB）通过调节肠道菌群失调和恢复代谢稳态（特别是嘧啶代谢）来治疗缺氧性肺动脉高压（HPH）的机制。它深入探讨了HPH与肠道菌群-代谢轴之间的关联，明确了特定菌群与代谢物之间的相互作用，为HPH的病理生理学提供了新的视角。此外，该研究提出了OFB作为一种潜在的、靶向肠道菌群的HPH治疗策略，具有重要的临床转化价值和机制探索深度。
41217799,2025,"Voprosy Kurortologii, Fizioterapii, I Lechebnoi Fizicheskoi Kultury",0.0,"[Connective tissue diseases: development predictors, multimorbidity variants, physical treatment methods. (Literature review)].",结缔组织病（CTDs），如系统性红斑狼疮和硬皮病，是复杂的自身免疫性疾病，以免疫失调和纤维化为特征，常伴发多种并发症，其中肺动脉高压是硬皮病患者的常见且严重的并发症。该综述深入分析了CTDs的现代发病机制、遗传和表观遗传预测因子、临床并发症及治疗方法。虽然文中未直接阐述肠道菌群与肺动脉高压的具体机制关联，但明确指出，肠道微生物组的深入研究被认为是未来探索CTDs发病机制、开发靶向药物（如抑制TGF-β和IL-6）以改善诊断和治疗效果的重要且有前景的方向。研究还强调了早期诊断、多学科策略以及个性化治疗的重要性。,未提及,未提及,该综述的创新性主要体现在其对结缔组织病（CTDs）复杂病理机制的全面系统性梳理与未来研究方向的精准指引。它不仅整合了CTDs的关键遗传（如HLA II类、TRAF1-C5多态性）和表观遗传风险因素（如日晒、吸烟、维生素D缺乏），还强调了免疫失调和纤维化在疾病进展中的核心作用。更重要的是，该研究明确将肠道微生物组的深入探索以及靶向抑制TGF-β和IL-6的药物开发列为未来理解CTDs发病机制、实现早期诊断和个性化治疗的“有前景方向”。这种前瞻性视角，特别是对微生物组在CTDs中潜在作用的强调，为后续的机制探索和转化研究提供了重要的理论依据和研究路线图，具有重要的指导意义。
41201193,2025 Nov,Anatolian Journal Of Cardiology,0.0,"Consensus Report on Pulmonary Hypertension, Gut Microbiota, Postural Orthostatic Tachycardia Syndrome….",无摘要,无,无,无
41174753,2025 Oct,Respiratory Research,0.0,Antibiotic-driven and microbiota-targeted therapy for advanced management of pulmonary hypertension.,该研究深入探讨了肠道菌群失衡在肺动脉高压（PH）进展中的作用，并提出了一种以抗生素驱动的菌群靶向治疗新策略。研究发现，抗生素治疗与PH患者平均肺动脉压（mPAP）降低相关，尤其在缺氧相关PH中效果显著。抗生素虽降低了菌群多样性，但却富集了益生菌如乳杆菌。在缺氧诱导的PH大鼠模型中，抗生素能有效减轻右心室收缩压（RVSP），减少肺血管重塑，并维持肠道绒毛完整性。乳杆菌和厌氧棒状杆菌与PH严重程度呈负相关，提示其保护作用。核心机制在于抗生素通过调节菌群失调和减少炎症反应来缓解PH进展。,16S rRNA测序,未提及,本研究在机制探索和治疗策略上具有显著创新。它首次系统性地提出了以抗生素驱动的菌群靶向疗法作为治疗肺动脉高压（特别是缺氧相关PH）的新途径。研究通过整合回顾性临床数据、人体队列的16S rRNA测序以及体内动物模型，多维度地揭示了抗生素如何通过调节肠道菌群（如富集乳杆菌和厌氧棒状杆菌）来减轻肺动脉高压的病理进程，包括改善血流动力学、减少肺血管重塑和炎症反应。这一发现为肺动脉高压的治疗提供了全新的视角和潜在的干预靶点，突破了传统治疗的局限。
41160277,2025 Oct,Bioresources And Bioprocessing,0.0,Comprehensive chemical analysis of polyphenols in the ethyl acetate extract from the roots of Ephedra sinica Stapf and evaluation of its therapeutic effects on SU5416/hypoxia-induced pulmonary arterial hypertension rats.,本研究深入探讨了麻黄根乙酸乙酯提取物（ERE）中A型原花青素（PACs）对SU5416/缺氧诱导的肺动脉高压（PH）大鼠的治疗作用。研究发现，ERE能显著降低肺动脉压、改善右心室肥厚和肺血管重塑，并减轻氧化应激。其核心机制在于ERE能够纠正肠道菌群失调，并改善宿主甘油磷脂代谢紊乱，从而发挥对PH的治疗效果。这是首次报道麻黄中A型PACs通过调控肠道菌群和宿主代谢来治疗PH。,16S rRNA测序,未提及,本研究的创新点在于首次揭示了麻黄中A型原花青素（PACs）作为治疗肺动脉高压（PH）的潜在新药，并深入阐明了其作用机制。通过结合16S rRNA测序和非靶向代谢组学，研究发现A型PACs通过调节肠道菌群失调和改善宿主甘油磷脂代谢紊乱来发挥治疗效果，为PH的治疗提供了新的靶点和策略。这种多组学结合的方法学也增强了机制探索的深度和广度。
41100174,2025 Nov,Journal Of Applied Microbiology,0.0,Transthoracic ultrasound with microbubble therapy modulates gut microbiota and protects against hypoxia-induced pulmonary hypertension in mice.,本研究深入探讨了经胸超声微泡疗法（UTMD）对缺氧诱导的肺动脉高压（HAPH）的保护作用及其与肠道菌群的关联。研究发现，UTMD能够显著调节肠道菌群组成，从而抑制HAPH的发生发展。具体而言，在缺氧条件下，小鼠肠道菌群的厚壁菌门/拟杆菌门比例显著升高，而UTMD治疗则能逆转这一变化，增加拟杆菌门、ε-变形菌门和疣微菌门，同时降低厚壁菌门。值得注意的是，UTMD治疗显著上调了Alloprevotella属细菌，且该菌属丰度与右心室收缩压（RVSP）呈显著负相关。这些结果表明，UTMD通过调节肠道菌群，特别是影响Alloprevotella属细菌，从而发挥对缺氧性肺动脉高压的保护作用，为HAPH的治疗提供了新的策略和靶点。,16S rRNA测序,未提及,本研究的创新点主要体现在机制探索方面。它首次揭示了经胸超声微泡疗法（UTMD）不仅能改善组织灌注，还能通过调节肠道菌群来干预缺氧性肺动脉高压（HAPH）的发生发展。研究明确了UTMD对肠道菌群组成（如厚壁菌门/拟杆菌门比例、特定菌门和Alloprevotella属）的具体影响，并首次发现Alloprevotella属细菌与HAPH的关键指标右心室收缩压呈显著负相关，为HAPH的治疗提供了新的潜在靶点和干预策略。
41010453,2025 Sep,Nutrients,0.0,<i>Lacticaseibacillus rhamnosus</i> Probio-M9 Alters the Gut Microbiota and Mitigates Pulmonary Hypertension in a Rat Model.,提取失败,未知,未知,未知
40976999,2025 Sep,"Endocrinology, Diabetes & Metabolism",0.0,Unveiling Molecular Mechanisms Underlying Obesity-Associated Systemic Lupus Erythematosus.,该研究深入探讨了肥胖相关系统性红斑狼疮（SLE）的分子机制。SLE是一种慢性自身免疫病，其发病涉及免疫细胞的代谢重编程，表现为糖酵解和脂肪酸氧化异常，从而加剧炎症。肥胖被明确指出是加重SLE的关键因素，其机制在于肥胖会促进全身性慢性炎症、导致免疫功能紊乱，并引发肠道菌群失调。具体而言，肠道菌群失调表现为多样性降低和促炎菌种的增加，这些异常进一步影响了肥胖相关的SLE免疫失调。研究强调，肥胖显著促进SLE的发生发展，并提出靶向肥胖和肠道菌群的代谢疗法可能为恢复免疫平衡、缓解疾病进展提供新的治疗策略。尽管摘要提及肺动脉高压是SLE的严重症状，但并未详细阐述肠道菌群与肺动脉高压之间的直接关联机制。,未提及,未提及,该研究的创新点主要体现在对肥胖相关系统性红斑狼疮（SLE）机制探索的深度和广度。它系统性地阐明了肥胖如何通过多重途径加重SLE，包括促进慢性炎症、导致免疫功能紊乱，并特别强调了肥胖诱导的肠道菌群失调在其中扮演的关键角色。研究深入揭示了肠道菌群多样性降低和促炎菌种增加如何影响肥胖相关的SLE免疫失调。这种将宿主代谢（肥胖、免疫细胞代谢重编程）与微生物组（肠道菌群失调）紧密联系起来，共同解释SLE发病机制的综合视角，为理解疾病的复杂性提供了新的理论框架。此外，研究明确提出了靶向肥胖和肠道菌群的代谢疗法作为潜在的新型治疗策略，为SLE的精准干预提供了创新方向。
40873701,2025,Frontiers In Microbiology,0.0,Hypertension-gut microbiota research trends: a bibliometric and visualization analysis (2000-2025).,该研究是一项针对高血压-肠道菌群研究领域的文献计量学和可视化分析。研究指出，肠道菌群通过代谢和免疫炎症途径调节血压，为高血压机制提供了新见解。核心研究热点包括代谢调节、并发症关联及干预策略，并聚焦于短链脂肪酸（SCFAs）和TMAO等关键分子。分析揭示，自2017年以来，肺动脉高压、Akkermansia muciniphila和孟德尔随机化等成为新兴研究焦点，预示着向精准机制和个性化干预的转变。研究强调代谢重编程和菌群靶向干预是核心优先事项，为解决临床转化障碍和推进精准医学提供了理论基础。,未提及,"CiteSpace, VOSviewer",该研究的创新点在于首次采用系统的文献计量学和可视化分析方法（CiteSpace和VOSviewer），对高血压-肠道菌群研究领域2000-2025年的发展趋势、合作网络、研究热点及新兴前沿进行了定量化、结构化的深度剖析。这克服了传统综述难以捕捉领域动态演变的局限性，为理解该领域碎片化知识、促进临床转化和明确发展轨迹提供了独特的定量分析框架。研究不仅揭示了代谢重编程和菌群靶向干预的核心地位，还前瞻性地指出了肺动脉高压等新兴研究方向，为精准医学和跨学科合作提供了理论基础和明确指引。
40818305,2025 Dec,Journal Of Pharmaceutical And Biomedical Analysis,0.0,Dysregulated tryptophan metabolism and gut microbiota in chronic hypoxia-induced pulmonary hypertension rats.,本研究深入探讨了慢性缺氧诱导的肺动脉高压（PH）大鼠模型中肠道菌群与宿主代谢的关联。研究发现，长期缺氧不仅导致肺动脉高压的典型病理特征（如右心室收缩压升高、肺血管重塑、右心室肥大），还伴随着肠道菌群失调和血清代谢紊乱。通过整合16S rRNA测序和非靶向/靶向代谢组学，研究特别揭示了色氨酸代谢通路的显著异常：色氨酸、黄尿酸和3-吲哚乙酸水平升高，而犬尿氨酸、烟酰胺和犬尿酸水平降低。这些发现强有力地揭示了肠道菌群失调与色氨酸代谢紊乱在PH发病机制中的关键作用，为PH的早期诊断和治疗提供了潜在的新靶点。,16S rRNA sequencing,未提及,该研究的创新点在于其采用了多组学整合策略，将16S rRNA测序与非靶向及靶向代谢组学相结合，深入剖析了慢性缺氧诱导的肺动脉高压（PH）中肠道菌群失调与宿主代谢紊乱之间的复杂联系。特别地，研究不仅观察到肠道菌群的改变，更进一步通过靶向代谢组学精准定位了色氨酸代谢通路的具体异常，揭示了其在PH发病机制中的关键作用。这种从菌群到特定代谢通路的深入机制探索，为理解PH的病理生理学提供了新视角，并为未来的诊断和治疗策略开发指明了潜在的靶点，超越了单纯的关联性研究。
40782764,2025 Oct,Phytomedicine : International Journal Of Phytotherapy And Phytopharmacology,0.0,Unlocking the gut-lung axis: Feixin decoction as a novel modulator in hypoxic pulmonary hypertension.,本研究深入探讨了复心汤（FXD）通过肠-肺轴治疗缺氧性肺动脉高压（HPH）的药理机制。研究发现，FXD能显著改善HPH大鼠的肺血管重塑、减轻右心室肥大、降低全身炎症并恢复肠道屏障功能。其核心机制在于FXD能够调节肠道菌群失调，具体表现为富集有益菌（如乳杆菌属和詹氏乳杆菌）并减少致病菌（如埃希氏菌-志贺氏菌属和鼠螺旋杆菌）。同时，FXD还诱导了有利的代谢改变，提高了有益代谢物二十碳五烯酸（EPA）和二十二碳六烯酸（DHA）的水平，并降低了促炎性5-羟色胺（5-HT）的浓度。通过肠道菌群清除和粪菌移植（FMT）实验，研究明确证实了FXD对HPH的治疗作用是通过调节肠道菌群介导的。机制研究进一步揭示，这种保护作用可能涉及抑制TLR4/MyD88/NF-κB信号通路。体外实验还证实，FXD富集的代谢物，特别是EPA，能通过干扰TLR4/MyD88/NF-κB信号轴，有效抑制缺氧诱导的人肺动脉平滑肌细胞（HPASMCs）异常增殖。本研究为HPH的治疗提供了新的策略。,16S rRNA测序；双平台非靶向代谢组学；靶向代谢组学,未提及,本研究的创新点在于首次系统性地阐明了复心汤（FXD）通过调节肠道菌群及其代谢产物来缓解缺氧性肺动脉高压（HPH）的机制，明确构建了“FXD-肠道菌群-代谢产物-TLR4/MyD88/NF-κB信号通路-HPH”的完整作用轴。通过结合16S rRNA测序、双平台非靶向和靶向代谢组学，以及肠道菌群清除和粪菌移植等多种体内模型，强有力地验证了肠道菌群在FXD治疗HPH中的介导作用。特别地，研究明确识别了二十碳五烯酸（EPA）作为关键的效应代谢物，并揭示其通过干扰TLR4/MyD88/NF-κB信号轴抑制肺动脉平滑肌细胞异常增殖的具体分子机制，为HPH的治疗提供了新的靶点和策略。
40680331,2025 Sep,Phytomedicine : International Journal Of Phytotherapy And Phytopharmacology,0.0,Multi-omics analyses reveal that hesperidin ameliorates high-altitude pulmonary hypertension by restoring gut-lung axis homeostasis.,该研究首次揭示橙皮苷通过恢复肠肺轴稳态来改善高原性肺动脉高压（HAPH）。核心机制包括：橙皮苷显著调节肠道菌群组成，降低Eggerthellaceae丰度并增加Christensenellaceae丰度；同时，它减轻了肠道炎症，降低了Occludin、Notch1、p-NF-κB/NF-κB和TNF-α的表达，并减少了血清促炎细胞因子。在代谢层面，橙皮苷降低了血清中胆碱相关代谢物（如胆碱、TMAO等）的水平。在肺部，它抑制了Egfr、Fos和Wasf1等基因的表达。通过多组学整合分析，研究建立了肠道菌群改变、胆碱代谢变化与肺部基因表达模式之间的显著关联，全面阐明了橙皮苷通过重塑菌群、减轻肠道炎症、调节胆碱代谢和正常化肺部基因表达来发挥对HAPH的保护作用。,16S rRNA测序，转录组测序,未提及,该研究的创新点在于首次揭示了橙皮苷作为一种潜在的HAPH治疗药物，并通过多组学整合分析深入阐明了其作用机制。研究创新性地将橙皮苷的治疗效果与肠肺轴稳态的恢复联系起来，具体机制包括调节肠道菌群（如降低Eggerthellaceae、增加Christensenellaceae）、减轻肠道炎症、调控胆碱代谢（特别是TMAO相关代谢物）以及正常化肺部基因表达。这种通过整合16S rRNA测序、代谢组学和转录组学数据来全面解析肠道菌群-代谢-肺部基因表达轴在HAPH发病机制及药物干预中的作用，为HAPH的治疗提供了新的靶点和策略，具有重要的科学意义和临床转化潜力。
40525291,2025 Jul,Circulation. Heart Failure,0.0,"Right Ventricular Function, Inflammation, and the Gut Microbiome in Pulmonary Hypertension: A Translational Frontier.",无摘要,无,无,无
40480048,2025 Oct,Microbiological Research,0.0,"Gut microbiota, metabolites, and pulmonary hypertension: Mutual regulation and potential therapies.",提取失败,未知,未知,未知
40326772,2025 Jun,Microbiology Spectrum,0.0,Gut microbiota modulates lung gene expression and metabolism to aid SD rats in adapting to low-pressure hypoxia.,提取失败,未知,未知,未知
40079338,2025 Mar,Journal Of The American Heart Association,0.0,Exploring the Causal Relationship Between Gut Microbiota and Pulmonary Artery Hypertension: Insights From Mendelian Randomization.,提取失败,未知,未知,未知
39757609,2025,Current Reviews In Clinical And Experimental Pharmacology,0.0,Frontiers in Pulmonary Hypertension: A Comprehensive Insight of Etiological Advances.,提取失败,未知,未知,未知
39739369,2025 Jan,Physiological Reports,0.0,Oral administration of pioglitazone inhibits pulmonary hypertension by regulating the gut microbiome and plasma metabolome in male rats.,提取失败,未知,未知,未知
39680298,2025 Jan,Cardiovascular Toxicology,0.0,Metagenomic Analysis of Gut Microbiome of Persistent Pulmonary Hypertension of the Newborn.,提取失败,未知,未知,未知
39590350,2024 Nov,Current Issues In Molecular Biology,0.0,Modification of Intestinal Flora Can Improve Host Metabolism and Alleviate the Damage Caused by Chronic Hypoxia.,提取失败,未知,未知,未知
39071798,2024,Frontiers In Cell And Developmental Biology,0.0,Disease-associated gut microbiome and metabolome changes in rats with chronic hypoxia-induced pulmonary hypertension.,提取失败,未知,未知,未知
38882495,2024 Apr,Imeta,0.0,Promising dawn in the management of pulmonary hypertension: The mystery veil of gut microbiota.,提取失败,未知,未知,未知
38255274,2024 Jan,Biomedicines,0.0,Pulmonary Hypertension and the Gut Microbiome.,提取失败,未知,未知,未知
37908354,2023,Frontiers In Immunology,0.0,Schistosomiasis-associated pulmonary hypertension unveils disrupted murine gut-lung microbiome and reduced endoprotective Caveolin-1/BMPR2 expression.,提取失败,未知,未知,未知
37851762,2023 Nov,"Hypertension (Dallas, Tex. : 1979)",0.0,High-Soluble-Fiber Diet Attenuates Hypoxia-Induced Vascular Remodeling and the Development of Hypoxic Pulmonary Hypertension.,提取失败,未知,未知,未知
37583483,2023 Jul,Pulmonary Circulation,0.0,Gut microbiota crosstalk mechanisms are key in pulmonary hypertension: The involvement of melatonin is instrumental too.,提取失败,未知,未知,未知
37448440,2023 Jul,Pulmonary Circulation,0.0,Partially hydrolyzed guar gum suppresses the progression of pulmonary arterial hypertension in a SU5416/hypoxia rat model.,提取失败,未知,未知,未知
37377650,2023 May,Erj Open Research,0.0,Gut microbiome alterations in pulmonary hypertension in highlanders and lowlanders.,提取失败,未知,未知,未知
36869838,2023 Aug,British Journal Of Pharmacology,0.0,Airway delivery of Streptococcus salivarius is sufficient to induce experimental pulmonary hypertension in rats.,这项研究首次揭示了呼吸道菌群，特别是唾液链球菌（Streptococcus salivarius），与肺动脉高压（PH）发病之间的因果关系。研究通过气管内滴注活体唾液链球菌，成功在大鼠模型中诱导了典型的PH特征，包括右心室收缩压升高、右心室肥大和肺血管重塑，且这些效应呈剂量和时间依赖性。该诱导作用具有菌株特异性，未在灭活菌或枯草芽孢杆菌处理组中观察到。值得注意的是，唾液链球菌诱导的PH以肺部炎症浸润升高为特征，其模式不同于经典的缺氧诱导PH。此外，与SU5416/缺氧诱导的PH模型相比，唾液链球菌诱导的PH引起了相似的组织学改变但血流动力学改变相对较轻。更重要的是，研究发现唾液链球菌诱导的PH还伴随着肠道菌群组成的改变，这强烈提示了肺-肠轴在PH发病机制中的潜在交流作用。本研究为呼吸道菌群在PH发生发展中的作用提供了开创性证据。,未提及,未提及,该研究在机制探索上具有显著创新。首先，它首次通过气管内直接递送活体唾液链球菌，在大鼠模型中建立了呼吸道菌群与肺动脉高压（PH）之间的明确因果关系，而非仅仅是相关性，这在PH发病机制研究中是一个重大突破。其次，研究不仅识别了唾液链球菌作为PH的特定诱导因子，还揭示了其诱导的PH具有不同于经典缺氧模型的炎症浸润特征。最重要的是，研究发现呼吸道唾液链球菌诱导的PH伴随着肠道菌群的改变，首次提出了肺-肠轴在PH发生发展中的潜在交流作用，为PH的跨器官调控机制提供了全新视角。这些发现为未来PH的诊断和治疗策略提供了新的靶点和思路。
36838437,2023 Feb,Microorganisms,0.0,Gut Microbiota and Metabolome Changes in Three Pulmonary Hypertension Rat Models.,提取失败,未知,未知,未知
36517838,2022 Dec,Respiratory Research,0.0,Higher circulating Trimethylamine N-oxide levels are associated with worse severity and prognosis in pulmonary hypertension: a cohort study.,提取失败,未知,未知,未知
36388628,2022,Journal Of Multidisciplinary Healthcare,0.0,Intestinal Flora Derived Metabolites Affect the Occurrence and Development of Cardiovascular Disease.,提取失败,未知,未知,未知
36296961,2022 Oct,Nutrients,0.0,The Role and Mechanism of Gut Microbiota in Pulmonary Arterial Hypertension.,提取失败,未知,未知,未知
36271581,2022 Nov,Biomedicine & Pharmacotherapy = Biomedecine & Pharmacotherapie,0.0,Gut microbiota: A new insight into lung diseases.,提取失败,未知,未知,未知
36202007,2022 Dec,Microbiological Research,0.0,Microbiome and metabolome dysbiosis of the gut-lung axis in pulmonary hypertension.,提取失败,未知,未知,未知
35395844,2022 Apr,Bmc Pulmonary Medicine,0.0,Altered gut microbiota and its association with inflammation in patients with chronic thromboembolic pulmonary hypertension: a single-center observational study in Japan.,提取失败,未知,未知,未知
34626680,2022 Jan,Biochimica Et Biophysica Acta. Molecular Cell Research,0.0,Regulation of meprin metalloproteases in mucosal homeostasis.,提取失败,未知,未知,未知
34531759,2021,Frontiers In Physiology,0.0,MSCs Therapy Reverse the Gut Microbiota in Hypoxia-Induced Pulmonary Hypertension Mice.,提取失败,未知,未知,未知
34363610,2022 Mar,British Journal Of Pharmacology,0.0,Rodent models of hypertension.,提取失败,未知,未知,未知
32999450,2021 Feb,Nature Reviews. Cardiology,0.0,"Interplay of cardiovascular mediators, oxidative stress and inflammation in liver disease and its complications.",提取失败,未知,未知,未知
32922743,2020,Pulmonary Circulation,0.0,Gut microbiota modification suppresses the development of pulmonary arterial hypertension in an SU5416/hypoxia rat model.,本研究旨在探讨肠道菌群改变是否影响SU5416/缺氧大鼠（肺动脉高压模型）的血流动力学。研究通过抗生素干预SU5416/缺氧大鼠的肠道菌群，发现抗生素诱导的菌群修饰显著抑制了血管重塑、右心室肥大以及右心室收缩压的升高。16S rRNA测序分析显示，肺动脉高压大鼠的厚壁菌门/拟杆菌门比例显著升高，且有14个细菌属（如Bacteroides、Akkermansia）丰度增加，而7个细菌属（如Rothia、Prevotellaceae）丰度减少。研究结果强有力地表明，肠道菌群失调可能在肺动脉高压的发生和发展中扮演因果角色，而非仅仅是疾病的结果。,16S rRNA sequencing,未提及,该研究的核心创新在于其机制探索，明确回答了肠道菌群改变与肺动脉高压之间是因果关系而非仅仅关联性。以往研究多停留在观察到肺动脉高压模型中肠道菌群异常，但本研究通过抗生素干预主动修饰菌群，并观察到肺动脉高压病理进程的显著抑制，从而提供了强有力的证据，证明肠道菌群失调在肺动脉高压的发生发展中具有因果作用。这为肺动脉高压的治疗提供了新的潜在靶点和干预策略。
32783758,2020 Sep,"Hypertension (Dallas, Tex. : 1979)",0.0,ACE2 (Angiotensin-Converting Enzyme 2) in Cardiopulmonary Diseases: Ramifications for the Control of SARS-CoV-2.,提取失败,未知,未知,未知
32418496,2020 Jul,"Hypertension (Dallas, Tex. : 1979)",0.0,Gut Pathology and Its Rescue by ACE2 (Angiotensin-Converting Enzyme 2) in Hypoxia-Induced Pulmonary Hypertension.,提取失败,未知,未知,未知
32194566,2020,Frontiers In Immunology,0.0,Intestinal Dysbiosis and the Developing Lung: The Role of Toll-Like Receptor 4 in the Gut-Lung Axis.,提取失败,未知,未知,未知
31936113,2020 Jan,Nutrients,0.0,Impact of Nutrition on Pulmonary Arterial Hypertension.,提取失败,未知,未知,未知
30114633,2018 Nov,Biomedicine & Pharmacotherapy = Biomedecine & Pharmacotherapie,0.0,Inhalational supplementation of metformin butyrate: A strategy for prevention and cure of various pulmonary disorders.,提取失败,未知,未知,未知
